Filter	Motif	rate	comp_rate	pvalue	qvalue	motif_count	filter_total	comp_motif_count	comp_filter_total
cell_phenotype(related)	root	0.3180910905461806	0.3567335243553006	1.0072458265435528e-06	5.036229132717763e-06	1753.0000000000002	5510.999999999996	3734.999999999999	10470.000000000005
cell_phenotype(related)	anatomical	0.12738160043549274	0.1412607449856733	0.015345623734435775	0.02557603955739296	702.0	5510.999999999996	1479.0	10470.000000000005
cell_phenotype(related)	lineage	0.07258210851025226	0.09293218720152811	1.0903947532595528e-05	3.2711842597786586e-05	399.99999999999994	5510.999999999996	972.9999999999999	10470.000000000005
cell_phenotype(related)	developmental	0.08401379060061699	0.07459407831900665	0.037400701512207674	0.05610105226831151	462.99999999999994	5510.999999999996	781.0	10470.000000000005
cell_phenotype(related)	appearance	0.05298493921248416	0.06064947468958927	0.050228216736130024	0.07175459533732861	292.0	5510.999999999996	635.0	10470.000000000005
cell_phenotype(related)	role	0.05189620758483037	0.05415472779369625	0.5538956762041192	0.5729955271077095	286.0	5510.999999999996	567.0	10470.000000000005
cell_phenotype(related)	variant	0.030665940845581583	0.044890162368672375	9.59484922155095e-06	3.198283073850317e-05	169.0	5510.999999999996	470.0	10470.000000000005
cell_phenotype(related)	molecular signaling	0.030484485574305952	0.027793696275071618	0.34389798409153294	0.39680536625946106	168.0	5510.999999999996	291.0	10470.000000000005
cell_phenotype(related)	molecular signature	0.11123208129196159	0.060076408787010475	3.420564497165899e-29	5.130846745748848e-28	612.9999999999999	5510.999999999996	629.0	10470.000000000005
cell_phenotype(related)	eponym	0.009980039920159688	0.013180515759312315	0.08008396016159214	0.10593751020724868	55.0	5510.999999999996	138.0	10470.000000000005
cell_phenotype(related)	species	0.004354926510615136	0.010506208213944598	3.283177789564083e-05	8.954121244265681e-05	24.0	5510.999999999996	110.0	10470.000000000005
cell_phenotype(related)	state	0.05008165487207407	0.03514804202483284	6.988270814464966e-06	2.6206015554243623e-05	276.0	5510.999999999996	368.00000000000006	10470.000000000005
cell_phenotype(related)	disease	0.030121575031754694	0.008118433619866281	1.3833508674625088e-24	1.3833508674625087e-23	166.0	5510.999999999996	85.0	10470.000000000005
cell_phenotype(related)	stimulus	0.0023589185265831987	0.00047755491881566357	0.0017123873391539464	0.0034247746783078927	13.0	5510.999999999996	5.0	10470.000000000005
cell_phenotype(related)	unknown token	0.023770640537107625	0.019484240687679077	0.08121875782555732	0.10593751020724868	131.00000000000003	5510.999999999996	204.00000000000003	10470.000000000005
Filter	Motif	rate	comp_rate	pvalue	qvalue	motif_count	filter_total	comp_motif_count	comp_filter_total
cell_hetero	root	0.355899419729207	0.3567335243553006	0.9728644925411334	0.9728644925411334	368.0	1033.9999999999998	3734.999999999999	10470.000000000005
cell_hetero	anatomical	0.19825918762088973	0.1412607449856733	1.9060021910147397e-06	8.1685808186346e-06	204.99999999999994	1033.9999999999998	1479.0	10470.000000000005
cell_hetero	lineage	0.08413926499032884	0.09293218720152811	0.36766172126376356	0.40851302362640396	87.0	1033.9999999999998	972.9999999999999	10470.000000000005
cell_hetero	developmental	0.029013539651837533	0.07459407831900665	2.220732338485906e-09	1.3324394030915436e-08	30.000000000000004	1033.9999999999998	781.0	10470.000000000005
cell_hetero	appearance	0.03384912959381045	0.06064947468958927	0.0002165639220617781	0.0005414098051544453	35.0	1033.9999999999998	635.0	10470.000000000005
cell_hetero	role	0.04158607350096713	0.05415472779369625	0.09390589405543659	0.11738236756929574	43.0	1033.9999999999998	567.0	10470.000000000005
cell_hetero	variant	0.009671179883945844	0.044890162368672375	4.747611504224241e-10	3.5607086281681805e-09	10.0	1033.9999999999998	470.0	10470.000000000005
cell_hetero	molecular signaling	0.013539651837524182	0.027793696275071618	0.004352831228911444	0.007681466874549608	14.0	1033.9999999999998	291.0	10470.000000000005
cell_hetero	molecular signature	0.03384912959381045	0.060076408787010475	0.0003422465101811819	0.0007897996388796506	35.0	1033.9999999999998	629.0	10470.000000000005
cell_hetero	eponym	0.004835589941972922	0.013180515759312315	0.017590862009415745	0.027775045278024862	5.0	1033.9999999999998	138.0	10470.000000000005
cell_hetero	species	0.0019342359767891687	0.010506208213944598	0.004014223164412252	0.0075266684332729724	2.0	1033.9999999999998	110.0	10470.000000000005
cell_hetero	state	0.016441005802707933	0.03514804202483284	0.0007433649543473033	0.0015929249021727928	17.0	1033.9999999999998	368.00000000000006	10470.000000000005
cell_hetero	disease	0.1634429400386847	0.008118433619866281	3.2254865957587216e-117	9.676459787276165e-116	168.99999999999994	1033.9999999999998	85.0	10470.000000000005
cell_hetero	stimulus	0.0009671179883945844	0.00047755491881566357	0.4317611682033153	0.46260125164640925	1.0	1033.9999999999998	5.0	10470.000000000005
cell_hetero	unknown token	0.012572533849129597	0.019484240687679077	0.14883399513722775	0.1786007941646733	13.0	1033.9999999999998	204.00000000000003	10470.000000000005
